id;company_name;deals_in;office_address;company_phone_number;email
1;Isle;benchmark;Loan payment;transparent Rue;"(\87.@wdg54\.x(_}+"
2;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;Rubber Central standardization;"'qtW`@^.?(_"
3;Philippines;CSS;Computer Hat;Southern middleware;";ACBK.@B6.'bwPoZ"
4;vortals Kentucky;protocol;Bacon architectures;invoice Borders composite;"L@g.4F:T"
5;local;Sausages Azerbaijanian;International Montserrat;bandwidth structure payment;";?S@Pt8..CeA"
6;transmit optical;synthesize bypassing;Bedfordshire Response Isle;leverage Executive target;"$X@'3.Qk<j"
7;clicks-and-mortar Handcrafted;Mississippi;District Personal Paradigm;Soap invoice quantifying;"#@oM//D.l"
8;auxiliary Chips Computer;responsive;Generic content-based;generate Account;"n>.SzF@-e.#T"
9;Focused;Row Fantastic Object-based;Operations;Bedfordshire killer input;"t/@H.-"
10;Gorgeous FTP;drive;cyan multi-byte transmitter;Up-sized;";)@*.F8"
